"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16454","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","33995","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","9281","All KraftHeinz service and legal links point to the correct URLs","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — external KraftHeinz links have correct hrefs","","",""
"","35217","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","7128","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","8331","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","6835","Nav is visible on Wienermobile (/wienermobile)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — visible on all main pages","","",""
"","8714","Nav is visible on Home (/)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — visible on all main pages","","",""
"","5603","Facebook link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","35105","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","35690","Wienermobile® link navigates to /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — primary navigation links","","",""
"","6561","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","12452","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","14271","Brand menu opens and displays all KraftHeinz brand links","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Brand menu (hamburger) — KraftHeinz brand links","","",""
"","13190","All KraftHeinz service and legal links point to the correct URLs","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — external KraftHeinz links have correct hrefs","","",""
"","35208","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","5779","Nav is visible on Our Story (/our-story)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — visible on all main pages","","",""
"","6892","Logo link navigates to home (/)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — primary navigation links","","",""
"","11964","Nav is visible on Products (/products)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — visible on all main pages","","",""
"","11362","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","10504","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","8545","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","18709","Products link navigates to /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — primary navigation links","","",""
"","36717","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","5676","Instagram link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","14587","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","8462","Products link navigates to /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — primary navigation links","","",""
"","14170","Instagram link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","8642","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","13066","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","36331","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","5516","TikTok link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","30915","Logo link navigates to home (/)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — primary navigation links","","",""
"","14217","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","13464","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","7627","Nav is visible on Products (/products)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — visible on all main pages","","",""
"","11752","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","31360","YouTube link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","15184","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","33826","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","16575","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","11855","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","13748","Facebook link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","31664","Nav is visible on Wienermobile (/wienermobile)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — visible on all main pages","","",""
"","34777","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","6040","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","34105","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","31755","Nav is visible on Our Story (/our-story)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — visible on all main pages","","",""
"","12584","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","7098","All brand links point to absolute external URLs","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Brand menu (hamburger) — KraftHeinz brand links","","",""
"","37273","Our Story link navigates to /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — primary navigation links","","",""
"","7185","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","11760","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","13030","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","7168","Brand menu opens and displays all KraftHeinz brand links","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Brand menu (hamburger) — KraftHeinz brand links","","",""
"","106777","All brand links point to absolute external URLs","chromium","2026-06-16","failed","2026-06-16","Oscar Mayer — Navigation [Preview] > Brand menu (hamburger) — KraftHeinz brand links","","",""
"","8747","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","8775","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","12537","Footer ""Home"" → /","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","13923","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","17349","Footer ""Our Story"" → /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","20352","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","8647","Our Story link navigates to /our-story","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — primary navigation links","","",""
"","10559","YouTube link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","18950","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","11730","Footer ""Wienermobile"" → /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","12848","Nav is visible on Home (/)","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Header — visible on all main pages","","",""
"","7765","Footer ""Our Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","14170","TikTok link href is correct","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","8478","Wienermobile® link navigates to /wienermobile","chromium","2026-06-16","passed","2026-06-16","Oscar Mayer — Navigation [Production] > Header — primary navigation links","","",""
