"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75508","Tradeshow success","chromium","2026-06-16","failed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","80647","Tradeshow Form","chromium","2026-06-16","failed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","127286","KD French","chromium","2026-06-16","broken","2026-06-16","URL Comparison: Preview vs Production","","",""
"","40770","Heinz seeds","chromium","2026-06-16","failed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","120002","KD Plant Based fr","chromium","2026-06-16","broken","2026-06-16","URL Comparison: Preview vs Production","","",""
"","35126","Kale Caesar en-CA","chromium","2026-06-16","passed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","73882","Jello simply rules","chromium","2026-06-16","passed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","35300","Kale Caesar fr-CA","chromium","2026-06-16","passed","2026-06-16","URL Comparison: Preview vs Production","","",""
"","126750","KD Plant Based en","chromium","2026-06-16","broken","2026-06-16","URL Comparison: Preview vs Production","","",""
"","128702","KD English","chromium","2026-06-16","broken","2026-06-16","URL Comparison: Preview vs Production","","",""
"","67762","Tradeshow rules","chromium","2026-06-16","failed","2026-06-16","URL Comparison: Preview vs Production","","",""
