"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97061","Capri sun adults","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","51621","Queso Dip","chromium","2026-04-27","failed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","118931","Kraft Mac and Cheese Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","98682","United Tastes of America","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","76567","Kraft Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","33055","Oscar Mayer Stuffed Dogs","chromium","2026-04-27","failed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","104934","Made by us","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","50838","Oscar Mayer Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
