"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25350","Products › 00044700104002 Jalapeno Cheddar Stuffed Dogs","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28858","Products › 00071871548601 Gluten Free Fully Cooked Turkey Bacon With 55 Less Fat 44 Less Sodium","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","29783","Products › 00044700009833 2 X Thicker Super Thick Cut Bologna Sliced Lunch Meat","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28646","Products › 00044700105252 Portable Protein Pack Hard Salami Cheddar Cheese Maple Flavored Nut Cluster","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","26897","Products › 00044700101940 Deli Fresh Smoked Turkey Breast","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","30555","Products › 00044700031711 Sub Kit With Extra Lean Smoked Ham Water Product Extra Lean Smoked Turkey Breast Sliced Lunch Meat","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","36685","Products › 00044700021323 Naturally Hardwood Smoked Maple Bacon","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","30031","Products › 00044700091739 Deli Fresh Honey Uncured Ham With 25 Lower Sodium","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28574","Products › 00044700002100 Jumbo Wieners Hot Dogs","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","18994","Products › 00044700011843 Ham Cheese Meat Loaf With Real Kraft Cheese","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28985","Products › 00044700030486 Deli Fresh Smoked Uncured Ham","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","30164","Products › 00044700104576 Carving Board Herb Roasted Grilled Chicken Breast Strips","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","23355","Products › 00044700105511 Deli Fresh Oven Roasted Turkey Breast","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","20333","Products › 00044700099995 Sub Kit With Extra Lean Honey Ham Extra Lean Honey Smoked Turkey Breast Sliced Lunch Meat","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28305","Products › 00044700010006 Lean Cooked Ham Sliced Lunch Meat With Water Added","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","23687","Products › 00044700030394 Slow Roasted Roast Beef Sliced Lunch Meat","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","29759","Products › 00044700068410 Original Fully Cooked Bacon Mega Pack","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","30448","Products","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","26299","Products › 00044700087374 Original Center Cut Bacon Mega Pack","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","29528","Products › 00044700031292 Deli Fresh Smoked Uncured Ham","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28231","Products › 00044700104538 Oven Roasted Turkey Breast White Turkey Lunch Meat","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","29832","Products › 00044700102879 Original Naturally Hardwood Smoked Bacon","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
"","28882","Products › 00044700030509 Deli Fresh Oven Roasted Turkey Breast","chromium","2026-04-28","failed","2026-04-28","Oscar Mayer — Preview vs Production","","",""
