"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41288","Instagram link href is correct","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","8547","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","34237","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","31027","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","7620","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","18339","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","15091","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","11581","Products link navigates to /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Header — primary navigation links","","",""
"","17754","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","20945","Nav is visible on Products (/products)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Header — visible on all main pages","","",""
"","53313","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","33174","TikTok link href is correct","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","11419","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","27420","Recipes link navigates to /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Header — primary navigation links","","",""
"","51189","Nav is visible on Home (/)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Header — visible on all main pages","","",""
"","32417","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","21553","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","failed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","14829","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","33525","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Home (/)","","",""
"","13361","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","16666","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
