"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11635","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","26263","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","17336","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","10443","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","25502","TikTok link href is correct","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","15265","Nav is visible on Grown Not Made (/sustainability)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Header — visible on all main pages","","",""
"","42681","Grown Not Made link navigates to /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Header — primary navigation links","","",""
"","8279","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","33113","All KraftHeinz service links point to the correct URLs","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — external KraftHeinz links have correct hrefs","","",""
"","25548","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","9258","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","16120","YouTube link href is correct","chromium","2026-06-16","failed","2026-06-16","Heinz — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","27020","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","15437","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","7740","Footer ""Grown Not Made"" → /sustainability","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","16346","Nav is visible on Products (/products)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Header — visible on all main pages","","",""
"","45469","YouTube link href is correct","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — social media links have correct hrefs","","",""
"","13882","Nav is visible on Grown Not Made (/sustainability)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Header — visible on all main pages","","",""
"","15369","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","16612","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","9392","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","48666","Nav is visible on Home (/)","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Header — visible on all main pages","","",""
"","34011","Footer ""All Recipes"" → /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Grown Not Made (/sustainability)","","",""
"","13209","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
"","12586","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Who We Are (/who-we-are)","","",""
"","17254","Footer ""All Products"" → /products","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","28848","Recipes link navigates to /recipes","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Header — primary navigation links","","",""
"","14583","Footer ""Who We Are"" → /who-we-are","chromium","2026-06-16","passed","2026-06-16","Heinz — Navigation [Production] > Footer — internal links navigate correctly > from Recipes (/recipes)","","",""
