"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54507","Made by us","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","35887","United Tastes of America","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","35433","Capri sun adults","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","11745","Oscar Mayer Stuffed Dogs","chromium","2026-04-27","failed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","16353","Oscar Mayer Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","15955","Queso Dip","chromium","2026-04-27","failed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","42750","Kraft Mac and Cheese Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
"","66519","Kraft Home","chromium","2026-04-27","passed","2026-04-27","URL Comparison: Preview vs Production","","",""
