"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7651","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","15254","Footer ""Home"" → /","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","34920","Footer ""Home"" → /","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","8678","Footer ""Our Story"" → /our-story","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","16310","Footer ""Home"" → /","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Wienermobile (/wienermobile)","","",""
"","34477","Footer ""Our Story"" → /our-story","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","36713","Footer ""Our Products"" → /products","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
"","15718","Nav is visible on Our Story (/our-story)","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Header — visible on all main pages","","",""
"","15926","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","14288","TikTok link href is correct","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — social media links have correct hrefs","","",""
"","15180","Footer ""Home"" → /","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Production] > Footer — internal links navigate correctly > from Home (/)","","",""
"","13239","Footer ""Our Products"" → /products","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Products (/products)","","",""
"","16873","Footer ""Hotdoggers"" → /hotdoggers","chromium","2026-04-30","passed","2026-04-30","Oscar Mayer — Navigation [Preview] > Footer — internal links navigate correctly > from Our Story (/our-story)","","",""
